threads_per_block,avg_time_ms,gflops
1024,0.121531,0.072254
512,0.135707,0.064123
256,0.130312,0.073180
128,0.117324,0.078401
64,0.130217,0.073828
32,0.116352,0.075245
16,0.122007,0.073287
8,0.139668,0.062952
4,0.152424,0.054795
2,0.154334,0.054675
1,0.181804,0.045777
